nombre,facilitador,eje,mesa,dia,horario,sala,keywords ,tipo,resumen,bio,confirmado
Guerra Cognitiva: subjetividad y algoritmos,Isha Verdeazul ,"Política, ética y aceleracionismo",,Viernes,19:00,subte,"cognicion, algoritmos, rrss",charla,"La naturaleza de la guerra evoluciona, pasamos de la guerra kinética, a las guerras híbridas, hasta un nuevo territorio de batalla: la cognición. La subjetividad misma se ve intervenida y atacada, algoritmos y redes sociales se vuelven armas en una guerra de escala y velocidad sin precedentes, empleadas con el objetivo de erosionar el pensamiento crítico, socavar la confianza en las instituciones y fragmentar el tejido social.Comprender estos mecanismos no es solo un desafío, sino una necesidad colectiva. La percepción de la realidad, nuestras creencias y emociones están siendo manipuladas.  La batalla se está dando en el núcleo mismo de la subjetividad. ¿Cómo funcionan estos mecanismos? ¿Cómo podemos recuperar el control sobre nuestra propia mente? ","Psicóloga, investigadora y artista argentina, con foco interdisciplinar, articula teoría crítica, y sensibilidad contemporánea, abordando los cruces entre percepción, poder y tecnologías digitales que se despliegan en los bordes entre lo simbólico y lo político. Co-directora de la diplomatura en inteligencia artificial aplicada a las artes multimediales en la UNA. (Universidad Nacional de las Artes) ",
Dracula y Psyops,Saico,"Política, ética y aceleracionismo",,Viernes,20:00,subte,Tecnopolitica,charla,"Una revision a la obra de Bram Stoker, las similitudes entre las condiciones que dieron luz al monstruo del vampiro con nuestra propia realidad puede ayudarnos a entender mejor nuestro presente.`",saico,
La estupidez como camino ,Nacho Joshas,"Política, ética y aceleracionismo",,Viernes,22:00,subte,"identidad, disciplina, risas",charla,"Charla de arte contra el disciplinamiento. Propone ofender identidades manufacturadas para desarmar al poder que glorifica al individuo y destruye lo comunitario. La clave es reírse de la propia estupidez, la solemnidad y el consumo identitario.","Estudió cine, actuación, dirección de arte y trabaja como editor/animador. Su arte combina todo con dibujo y pintura. Crea personajes y contenido online/en vivo, centrado en el ridículo, el clown y la clave trash.",
Taller y Charla sobre Chiptune,Juan Pablo Polanco ,"Hardware, tácticas y materialidad",,Viernes,18:00,piso 1,"Chiptune, gameboy, music","taller, charla","Charla/Taller sobre Chiptune y su escena en Chile. Definiremos el género, exploraremos su historia (pioneros hasta Digifu) y se enseñará a crear una melodía con GameBoy y LSDJ (Tracker). No requiere experiencia, es apto para todo público.","La Once Súper Portable es un colectivo fundado en 2017 por Casa Ruido y Piña Ruda, enfocado en compartir la once con música Chiptune (máquinas, consolas, juguetes). Cofundado por Juan Pablo Polanco (BLUU), realiza intervenciones físicas y digitales.",
Taller de programación de visuales raspberry pico,Nicolás Briceño,"Hardware, tácticas y materialidad",,Viernes,19:00,piso 1,,taller,"Taller enfocado en la reutilización de placas LED RGB P4 de 64×32 píxeles, recuperadas de paraderos vandalizados durante el estallido social. Cupo máximo: 10 personas, por orden de llegada. Cada participante debe traer un notebook con puerto USB-A.","Licenciado en Artes Plásticas de la Universidad de Chile 2008, con estudios previos e incompletos en Ingeniería Informática. Su obra se destaca por la utilización de otras disciplinas, provenientes de las ciencias exactas aunque también vinculadas a otras artes, especialmente la poesía. Complementa su profesión de artista trabajando como programador y consultor en informática, y visualista en proyectos musicales.",
HAZLO TU MISMX: Herramientas para montar tu propio servidor para archivo y fanzines.,Yuko,"Hardware, tácticas y materialidad",,Viernes,21:00,piso 1,"servidores, fanzine, ","charla, taller",Charla que explora cómo habitar otra internet. Responde a qué es un servidor y cómo montar uno autogestionado con hardware reutilizado. Se presentarán alternativas libres a Google/Meta (ej. Nextcloud) para crear redes colaborativas y almacenar archivos y fanzines.,"Soy Yuko, Edito 404 fanzine (que se distribuye en formato fisico), Formo parte de Fanzine Club (www.fanzineclub.com), Hago ruido y voz en WwW (www.wvvw.bandcamp.com)Trabajo en el area de tecnologia, administradora de servidores UNIX.",
Engendro II - Instalacion,Jonathan Jara,Arte y estética computacional,"Mesa 1: Presencia, objetualidad y re interpretación tecnologica",Sabado,11:00,subte,"robot, arte, instalacion, compañia, cyborg",mesa,"Un láser de fiestas se convierte en el robot acompañante ""Engendro II"" mediante antropomorfismo (ojos de LED/láser, cables como venas) y zoomorfismo (antenas móviles). Su apariencia cíborg-retro, inspirada en Short Circuit, y su interacción con el entorno buscan satisfacer la necesidad humana de compañía y proyección emocional.","En 2005, hice mi 1er robot (escultura autómata) en el liceo para fomentar el reciclaje. Luego trabajé en maquinaria industrial y me enfoqué en música (jcápsula). Hoy, combino esa experiencia dándole una identidad robótica a un láser.",
sonido solar,felipe zegers,Arte y estética computacional,"Mesa 1: Presencia, objetualidad y re interpretación tecnologica",Sabado,11:00,subte,"Instalacion, sol, sonido, fotovoltaico",mesa,"Artefacto con tambor y flauta que, mediante energía solar (paneles y motores), interpreta la ""música del sol"". Es una intervención sonora urbana/natural que rinde homenaje a la Tierra, invitando a la reflexión y el reencuentro sensorial.","Artista y músico autodidacta con +20 años de trayectoria, experto en intervenciones urbanas en Chile, México, Dubái, etc. Cofundador de Hecho en Casa y creador de Grupo Grifo, resignifica el paisaje con mensajes poéticos.",
"""Metron: Objeto tecnológico Rolling Release",Mauricio Román Miranda ,Arte y estética computacional,"Mesa 1: Presencia, objetualidad y re interpretación tecnologica",Sabado,11:00,subte,"Escaner, instalación, vigilancia",mesa,"Metron, un escáner de documentos, se transforma en arte. Invita a escanear manos y rostros para activar el cuerpo social digital, cuestionando la vigilancia tecnológica. Es una obra de arte en constante ""rolling release"".","Valparaíso, 1978. Artista y docente chileno. Explora la poética computacional y los vínculos entre tecnología, vida, y cibercultura. Dirigió Espacio-G (2003-2016) y se enfoca en la colaboración, el cambio generativo en red, y el concepto de rizoma en sus obras audiovisuales.",
 AND-Y: un robot buena onda con crisis existencial,Sofía Cartes,Arte y estética computacional,"Mesa 1: Presencia, objetualidad y re interpretación tecnologica",Sabado,11:00,subte,"robot, interacción, arduino",mesa,"AND-Y, un robot Arduino de 11cm, usa humor y audios para reflexionar sobre nuestra relación con la tecnología. Detecta tu cercanía con un sensor y te comparte ""secretos computines"" y datos curiosos.","Estudiantes (Yamna Carrión, Sofía Cartes, etc.) de Diseño Industrial (UDP) interesadas en el cruce de tecnología, humor y diseño de interacción. Crearon AND-Y, un robot que saluda y se ríe, en un taller de máquinas.",
Afectos Mecatrónicos,Isidora Pesce,Arte y estética computacional,"Mesa 1: Presencia, objetualidad y re interpretación tecnologica",Sabado,11:00,subte,"juguetes, vínculo, afecto, animatronic y humano-máquina.",mesa,"Cómo a través de la práctica artística y la cultura pop infantil, comprendemos a las máquinas como un tipo de ser y creamos vínculos afectivos entre nosotros desde sus propias sensibilidades.","Licenciada en Artes Visuales y diplomada en Desarrollo de Videojuegos, desarrolla su obra en torno a los juguetes y la electrónica con una mirada empática hacia las máquinas como otro tipo de ser.",
